Node_ID           X-Coord            Y-Coord           
NODO409          5655271.635        6153977.468       
NODO410          5655800.152        6154133.573       
NODO413          5655543.886        6153985.456       
NODO415          5655332.451        6153876.023       
NODO416          5656008.277        6154256.482       
NODO418          5656233.088        6154371.907       
NODO420          5655898.116        6154449.694       
NODO422          5655593.224        6154511.565       
NODO425          5655361.143        6154391.438       
NODO428          5655106.437        6154233.935       
NODO429          5655746.781        6154239.406       
NODO431          5655644.410        6154420.845       
NODO432          5657095.684        6154085.278       
NODO435          5657279.673        6154189.214       
NODO436          5657197.155        6154133.640       
NODO437          5657252.314        6154276.424       
NODO438          5657359.272        6153944.805       
NODO439          5657320.651        6154065.805       
NODO440          5657594.528        6153549.577       
NODO442          5657476.900        6153747.191       
NODO444          5656698.804        6154426.245       
NODO446          5656647.722        6154522.536       
NODO447          5656529.528        6154716.923       
NODO448          5656476.015        6154812.093       
NODO450          5656376.660        6154991.833       
NODO452          5656271.552        6155190.714       
NODO454          5656167.907        6155373.551       
NODO455          5656077.572        6155517.276       
NODO457          5656032.784        6155596.767       
NODO459          5655944.543        6155764.078       
NODO461          5655843.323        6155943.540       
NODO463          5655737.347        6156125.471       
NODO464          5655632.792        6156324.221       
NODO466          5655574.634        6156425.277       
NODO468          5655949.543        6155249.596       
NODO470          5655731.216        6155125.695       
NODO472          5655512.889        6155001.794       
NODO474          5655294.563        6154877.893       
NODO476          5655076.236        6154753.992       
NODO477          5654972.168        6154678.210       
NODO478          5656355.140        6155472.646       
NODO480          5656004.383        6154769.404       
NODO482          5655869.245        6154947.649       
NODO484          5656195.592        6154880.672       
NODO486          5656137.436        6154984.242       
NODO487          5656556.328        6155098.742       
NODO489          5656455.678        6155285.753       
NODO491          5656724.121        6154819.149       
NODO493          5656612.259        6155005.544       
NODO494          5656846.652        6155256.038       
NODO496          5656653.136        6155151.226       
NODO497          5657897.005        6155848.865       
NODO499          5657718.653        6155743.202       
NODO501          5657533.699        6155630.856       
NODO503          5657304.683        6155505.916       
NODO505          5657075.668        6155380.977       
NODO507          5656683.764        6155542.767       
NODO509          5656789.135        6155349.296       
NODO510          5657205.949        6155067.120       
NODO512          5657118.069        6155277.010       
NODO513          5657302.067        6155119.485       
NODO514          5657355.460        6155018.373       
NODO515          5656111.431        6156348.192       
NODO517          5655925.111        6156235.042       
NODO520          5655547.355        6156021.951       
NODO522          5655357.213        6155918.097       
NODO524          5655133.854        6155794.182       
NODO526          5654910.494        6155670.266       
NODO527          5654798.814        6155608.309       
NODO528          5654691.370        6155535.030       
NODO529          5656222.073        6156159.015       
NODO531          5656325.519        6155966.369       
NODO532          5656273.768        6156062.700       
NODO533          5656427.993        6155781.100       
NODO535          5656586.344        6156373.550       
NODO537          5656404.320        6156266.328       
NODO539          5656697.766        6156436.062       
NODO540          5656753.712        6156343.247       
NODO541          5656638.371        6156277.091       
NODO542          5656811.992        6156246.815       
NODO544          5656692.245        6156182.045       
NODO545          5655523.408        6156514.425       
NODO547          5655312.923        6156381.697       
NODO549          5655102.437        6156248.969       
NODO551          5654891.951        6156116.240       
NODO553          5654681.466        6155983.512       
NODO554          5654575.365        6155919.098       
NODO556          5654886.046        6156138.097       
NODO557          5654779.196        6156070.570       
NODO558          5654672.347        6156003.043       
NODO559          5655151.536        6156351.290       
NODO560          5655072.416        6156278.656       
NODO561          5655017.682        6155234.617       
NODO563          5654809.449        6155194.122       
NODO564          5655167.772        6155318.050       
NODO566          5655279.071        6155380.589       
NODO567          5655204.009        6154914.143       
NODO569          5655079.588        6155127.819       
NODO570          5655237.183        6155176.007       
NODO572          5655293.379        6155053.362       
NODO574          5655323.438        6154988.442       
NODO575          5655161.496        6155128.270       
NODO576          5655101.325        6155090.961       
NODO577          5655224.945        6155018.759       
NODO578          5655163.683        6154983.540       
NODO579          5654575.361        6154944.934       
NODO581          5654731.449        6155111.081       
NODO582          5654388.828        6154820.496       
NODO583          5654482.097        6154882.716       
NODO584          5654550.844        6155192.326       
NODO586          5654680.798        6155011.479       
NODO587          5654456.204        6155122.344       
NODO589          5654362.904        6155060.689       
NODO591          5654265.912        6154993.131       
NODO593          5654718.050        6154963.420       
NODO594          5654519.682        6154835.002       
NODO596          5654555.936        6154781.911       
NODO597          5655363.699        6155430.340       
NODO599          5655250.043        6155612.931       
NODO601          5655562.207        6155547.868       
NODO603          5655674.123        6155363.066       
NODO605          5655506.249        6155640.269       
NODO606          5655049.604        6155977.022       
NODO608          5654800.163        6153487.291       
NODO610          5654610.285        6153362.900       
NODO612          5654426.212        6153223.868       
NODO613          5654956.482        6153592.005       
NODO615          5655124.434        6153568.035       
NODO616          5655071.098        6153666.477       
NODO618          5655203.990        6153137.016       
NODO620          5654987.829        6153011.148       
NODO622          5654754.891        6152901.260       
NODO623          5655504.615        6153277.683       
NODO625          5655306.160        6153192.536       
NODO626          5655748.925        6153410.456       
NODO629          5655121.360        6153291.650       
NODO631          5655235.238        6153355.928       
NODO632          5653985.042        6155599.910       
NODO634          5653804.697        6155449.171       
NODO635          5653707.337        6155385.879       
NODO654          5656957.859        6156578.376       
NODO656          5656848.769        6156787.827       
NODO658          5656736.927        6156974.650       
NODO659          5656681.006        6157068.061       
NODO660          5656625.005        6157161.534       
NODO662          5656413.813        6157288.395       
NODO664          5656202.622        6157415.256       
NODO665          5656097.026        6157478.686       
NODO666          5655988.364        6157537.992       
NODO667          5656545.532        6156857.412       
NODO669          5656445.691        6157047.616       
NODO671          5656883.984        6157166.632       
NODO673          5656969.402        6157220.657       
NODO674          5656915.850        6157313.441       
NODO675          5657022.955        6157127.874       
NODO676          5656675.344        6157689.801       
NODO678          5656519.403        6157544.477       
NODO679          5656441.508        6157471.844       
NODO681          5656304.900        6157614.956       
NODO683          5656124.930        6157326.881       
NODO684          5656025.030        6157225.962       
NODO686          5655866.299        6157407.618       
NODO690          5655696.835        6157595.350       
NODO692          5655527.450        6157783.225       
NODO693          5655566.359        6157815.978       
NODO695          5655776.193        6157678.795       
NODO696          5655671.276        6157747.386       
NODO697          5656128.932        6158197.861       
NODO699          5655946.322        6158017.405       
NODO701          5655763.652        6157836.971       
NODO702          5655629.919        6157871.476       
NODO703          5655688.162        6157930.854       
NODO704          5656175.030        6157889.851       
NODO706          5656424.857        6157832.467       
NODO708          5656235.032        6157947.849       
NODO709          5656499.655        6157932.187       
NODO714          5656029.342        6158259.188       
NODO715          5655618.158        6158044.199       
NODO716          5655538.155        6158145.679       
NODO719          5655336.583        6157936.518       
NODO720          5655343.833        6158125.194       
NODO722          5655162.998        6158299.421       
NODO723          5657450.393        6154158.533       
NODO725          5657503.704        6154047.876       
NODO726          5657692.597        6154168.699       
NODO728          5657764.210        6154012.405       
NODO730          5657851.630        6154064.362       
NODO731          5657885.939        6153983.842       
NODO732          5658002.279        6154060.565       
NODO734          5657779.502        6154227.323       
NODO735          5657719.372        6154335.289       
NODO736          5657579.657        6154619.576       
NODO738          5657672.801        6154430.051       
NODO739          5657556.052        6154451.337       
NODO741          5657365.858        6154329.946       
NODO742          5657323.036        6154418.347       
NODO745          5655106.822        6158057.033       
NODO746          5654991.942        6158117.291       
NODO747          5654876.691        6158177.792       
NODO748          5654789.406        6158092.924       
NODO750          5654614.838        6157923.187       
NODO752          5654440.269        6157753.450       
NODO753          5654352.985        6157668.581       
NODO754          5654264.689        6157588.128       
NODO755          5655375.284        6157123.844       
NODO757          5655331.142        6157323.544       
NODO759          5655286.968        6157523.343       
NODO761          5655120.969        6157713.296       
